Unit,Servers,Lambda_per_hour,Mu_per_hour,rho,Pw,Lq,Wq,Ws
Fire Truck,1,0.03349656464773247,0.008558030480656505,,,,,
Fire Truck,2,0.03349656464773247,0.008558030480656505,,,,,
Fire Truck,3,0.03349656464773247,0.008558030480656505,,,,,
Fire Truck,4,0.03349656464773247,0.008558030480656505,0.9785126590587603,0.9527549381260045,43.38753550225247,1295.2831419740698,1412.132457042563
Fire Truck,5,0.03349656464773247,0.008558030480656505,0.7828101272470082,0.5214478157826541,1.8794367612606417,56.1083436772036,172.95765874569676
Fire Truck,6,0.03349656464773247,0.008558030480656505,0.6523417727058403,0.2642094766322697,0.4957595270890701,14.800309593020616,131.6496246615138
Fire Truck,7,0.03349656464773247,0.008558030480656505,0.5591500908907202,0.12339519128007048,0.15650776147177584,4.672352616386007,121.52166768487918
Fire Truck,8,0.03349656464773247,0.008558030480656505,0.48925632952938014,0.053005225693897054,0.050775259035470026,1.5158348197628446,118.36514988825601
Fire Truck,9,0.03349656464773247,0.008558030480656505,0.43489451513722677,0.020940941907080908,0.016115753644486915,0.48111661043359744,117.33043167892677
Fire Truck,10,0.03349656464773247,0.008558030480656505,0.3914050636235041,0.007622092428766505,0.004901988816712737,0.146343031539641,116.99565810003281
Fire Truck,11,0.03349656464773247,0.008558030480656505,0.3558227851122765,0.0025633849250539455,0.0014159314273580676,0.04227094456547257,116.89158601305864
Fire Truck,12,0.03349656464773247,0.008558030480656505,0.32617088635292013,0.0007993989985421574,0.00038695371663726585,0.011552041849863564,116.86086711034304
Fire Truck,13,0.03349656464773247,0.008558030480656505,0.3010808181719262,0.0002320502079965153,9.99627257300583e-05,0.0029842679922947027,116.85229933648546
Fire Truck,14,0.03349656464773247,0.008558030480656505,0.2795750454453601,6.29392533621057e-05,2.4424812754973998e-05,0.0007291736633842366,116.85004424215656
Fire Truck,15,0.03349656464773247,0.008558030480656505,0.26093670908233607,1.600901358059058e-05,5.6522078294362366e-06,0.00016873992568724086,116.84948380841885
Fire Truck,16,0.03349656464773247,0.008558030480656505,0.24462816476469007,3.831704633399671e-06,1.2409025974564227e-06,3.7045667533563766e-05,116.84935211416071
Fire Truck,17,0.03349656464773247,0.008558030480656505,0.23023827271970831,8.6571321565845e-07,2.589376795181293e-07,7.73027569367947e-06,116.84932279876887
Fire Truck,18,0.03349656464773247,0.008558030480656505,0.21744725756861338,1.8517002472587012e-07,5.145303553016831e-08,1.5360690289071597e-06,116.8493166045622
Fire Truck,19,0.03349656464773247,0.008558030480656505,0.20600266506500217,3.759569326670835e-08,9.754205294079888e-09,2.912001692310914e-07,116.84931535969334
Fire Truck,20,0.03349656464773247,0.008558030480656505,0.19570253181175204,7.263348546189845e-09,1.7673258416721332e-09,5.276140584141279e-08,116.84931512125458
Police,1,0.031355231747877424,0.013040021203286506,,,,,
Police,2,0.031355231747877424,0.013040021203286506,,,,,
Police,3,0.031355231747877424,0.013040021203286506,0.801512800709631,0.649654155080031,2.623373815502824,83.66622312336798,160.3532149932867
Police,4,0.031355231747877424,0.013040021203286506,0.6011346005322233,0.2884939930960341,0.43479259300790996,13.866668137043606,90.55366000696232
Police,5,0.031355231747877424,0.013040021203286506,0.4809076804257787,0.11423887717167529,0.10583541956494034,3.3753671609237847,80.0623590308425
Police,6,0.031355231747877424,0.013040021203286506,0.4007564003548155,0.040273817384221866,0.026933938206439797,0.8589934344294258,77.54598530434814
Police,7,0.031355231747877424,0.013040021203286506,0.34350548601841335,0.012672338722916891,0.0066306995402060885,0.21147027690697742,76.8984621468257
Police,8,0.031355231747877424,0.013040021203286506,0.30056730026611167,0.0035778461783425447,0.0015375082792111272,0.04903514321227136,76.73602701313098
Police,9,0.031355231747877424,0.013040021203286506,0.26717093356987703,0.00091248332358722,0.0003326683296247061,0.010609659411853205,76.69760152933057
Police,10,0.031355231747877424,0.013040021203286506,0.24045384021288935,0.00021169914665896327,6.701880080363644e-05,0.002137404097106482,76.68912927401583
Police,11,0.031355231747877424,0.013040021203286506,0.21859440019353574,4.498195894040236e-05,1.2583483323568272e-05,0.0004013200548077628,76.68739318997352
Police,12,0.031355231747877424,0.013040021203286506,0.20037820017740776,8.808078464934426e-06,2.2072271043842526e-06,7.039422071991765e-05,76.68706226413943
Police,13,0.031355231747877424,0.013040021203286506,0.18496449247145333,1.5983714310238277e-06,3.627350683366859e-07,1.1568566013269574e-05,76.68700343848472
Police,14,0.031355231747877424,0.013040021203286506,0.17175274300920668,2.701456162687409e-07,5.601980593892215e-08,1.786617505791976e-06,76.68699365653622
Police,15,0.031355231747877424,0.013040021203286506,0.16030256014192623,4.271452307741422e-08,8.154422151993478e-09,2.600657592825952e-07,76.68699212998447
Police,16,0.031355231747877424,0.013040021203286506,0.15028365013305583,6.3436052654574376e-09,1.1219510539552385e-09,3.578194104820126e-08,76.68699190570065
Police,17,0.031355231747877424,0.013040021203286506,0.14144343541934665,8.880225795791082e-10,1.462978323938024e-10,4.665818883756327e-09,76.68699187458454
Police,18,0.031355231747877424,0.013040021203286506,0.13358546678493852,1.1755102102635373e-10,1.812424354954092e-11,5.780293284155947e-10,76.68699187049674
Police,19,0.031355231747877424,0.013040021203286506,0.12655465274362596,1.4756878955659026e-11,2.1381437289458536e-12,6.819097196086246e-11,76.68699186998691
Police,20,0.031355231747877424,0.013040021203286506,0.12022692010644467,1.7614134310223204e-12,2.4070901541061167e-13,7.676837388609202e-12,76.68699186992639
Ambulance,1,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,2,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,3,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,4,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,5,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,6,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,7,0.07433484209496795,0.010145925972317907,,,,,
Ambulance,8,0.07433484209496795,0.010145925972317907,0.915821314606754,0.7452088554267638,8.107493606550086,109.06720695245707,207.6289353475188
Ambulance,9,0.07433484209496795,0.010145925972317907,0.8140633907615591,0.4637976624805343,2.030588270339025,27.316776535891563,125.87850493095328
Ambulance,10,0.07433484209496795,0.010145925972317907,0.7326570516854032,0.2751991783256973,0.7541871588140264,10.145809657475288,108.707538052537
Ambulance,11,0.07433484209496795,0.010145925972317907,0.6660518651685483,0.15526070109244797,0.30966389317369525,4.165797416749443,102.72752581181116
Ambulance,12,0.07433484209496795,0.010145925972317907,0.6105475430711693,0.08312342071440273,0.13031321124294265,1.7530569457113856,100.31478534077311
Ambulance,13,0.07433484209496795,0.010145925972317907,0.5635823474503102,0.04218279217809439,0.05447414168250725,0.732821112512928,99.29454950757464
Ambulance,14,0.07433484209496795,0.010145925972317907,0.5233264654895736,0.020283326749369734,0.02226849390121869,0.2995700706913339,98.86129846575305
Ambulance,15,0.07433484209496795,0.010145925972317907,0.4884380344569354,0.009244270355135024,0.008826405296682601,0.11873846836731357,98.68046686342903
Ambulance,16,0.07433484209496795,0.010145925972317907,0.457910657303377,0.003996749354543044,0.0033761116108860447,0.0454176199980734,98.6071460150598
Ambulance,17,0.07433484209496795,0.010145925972317907,0.4309747362855313,0.001641270714172957,0.0012430840216064555,0.016722764003700027,98.57845115906542
Ambulance,18,0.07433484209496795,0.010145925972317907,0.40703169538077955,0.0006411170108154835,0.0004400824492925608,0.005920271529336468,98.56764866659105
Ambulance,19,0.07433484209496795,0.010145925972317907,0.3856089745712648,0.00023860566946572642,0.00014975558515908238,0.0020146082367103056,98.56374300329843
Ambulance,20,0.07433484209496795,0.010145925972317907,0.3663285258427016,8.474915097739757e-05,4.899389164591611e-05,0.0006590972720884104,98.56238749233381
Mixed,1,0.013765711499068137,0.010580766517752176,,,,,
Mixed,2,0.013765711499068137,0.010580766517752176,0.6505063445059642,0.5127620449943482,0.9543949031611775,69.33131667228278,163.84242778339387
Mixed,3,0.013765711499068137,0.010580766517752176,0.43367089633730954,0.17075228034870976,0.13075488084852055,9.498592270902375,104.00970338201348
Mixed,4,0.013765711499068137,0.010580766517752176,0.3252531722529821,0.04792896358601278,0.023103550558659473,1.6783404592071725,96.18945157031828
Mixed,5,0.013765711499068137,0.010580766517752176,0.26020253780238567,0.011422778164427418,0.004017634581103427,0.29185811291885627,94.80296922402997
Mixed,6,0.013765711499068137,0.010580766517752176,0.21683544816865477,0.0023411898347713077,0.0006482072584662367,0.04708854013903435,94.55819965125013
Mixed,7,0.013765711499068137,0.010580766517752176,0.18585895557313264,0.0004186124896145028,9.556437504559348e-05,0.006942203826664729,94.51805331493777
Mixed,8,0.013765711499068137,0.010580766517752176,0.16262658612649106,6.618952323007056e-05,1.285469065760482e-05,0.0009338195601785648,94.51204493067128
Mixed,9,0.013765711499068137,0.010580766517752176,0.14455696544576982,9.366060454951115e-06,1.5827228966273477e-06,0.00011497574220805726,94.51122608685331
Mixed,10,0.013765711499068137,0.010580766517752176,0.13010126890119283,1.1982872922526448e-06,1.7921476564671056e-07,1.3018925004991018e-05,94.51112413003611
Mixed,11,0.013765711499068137,0.010580766517752176,0.11827388081926622,1.398249907253294e-07,1.8755987748178268e-08,1.3625149524198547e-06,94.51111247362606
Mixed,12,0.013765711499068137,0.010580766517752176,0.10841772408432739,1.4991923786281142e-08,1.8230401169482487e-09,1.3243341014895295e-07,94.51111124354452
Mixed,13,0.013765711499068137,0.010580766517752176,0.10007789915476373,1.4864559872084664e-09,1.6530474387296645e-10,1.2008441691092877e-08,94.51111112311955
Mixed,14,0.013765711499068137,0.010580766517752176,0.09292947778656632,1.3704696282367399e-10,1.4040476870928766e-11,1.0199601286049928e-09,94.51111111213106
Mixed,15,0.013765711499068137,0.010580766517752176,0.0867341792674619,1.1806020631519923e-11,1.1212348985843523e-12,8.145128558449404e-11,94.51111111119256
Mixed,16,0.013765711499068137,0.010580766517752176,0.08131329306324553,9.543218325066612e-13,8.44673709299789e-14,6.136070114188931e-12,94.51111111111724
Mixed,17,0.013765711499068137,0.010580766517752176,0.07653015817717226,7.265611730837979e-14,6.021186505856979e-15,4.3740467074764573e-13,94.51111111111155
Mixed,18,0.013765711499068137,0.010580766517752176,0.07227848272288491,5.227406823644746e-15,4.0726557135080224e-16,2.958550826656304e-14,94.51111111111113
Mixed,19,0.013765711499068137,0.010580766517752176,0.0684743520532594,3.5648153931590297e-16,2.6204154955270314e-17,1.9035815879945028e-15,94.5111111111111
Mixed,20,0.013765711499068137,0.010580766517752176,0.06505063445059642,2.3104432562758602e-17,1.6075287627424447e-18,1.1677774613039548e-16,94.5111111111111
